1900-01-01 18:19:19
Student List:
Visual: 		 lambda:0.98 <1, 0, 0, 0>
Non-Visual: 	 lambda:1.04 <0, 0, 1, 1>
Independant: 	 lambda:1.16 <2, 0, 1, 0>
Dependant: 		 lambda:0.97 <1, 1, 1, 1>

--- Sequential Halving ---

INDEX:  0
ARM: [2 5 0 1 1]	Average: 15.000000
ARM: [2 5 1 0 0]	Average: 16.000000
ARM: [2 5 1 0 1]	Average: 16.000000
ARM: [2 5 1 1 0]	Average: 17.000000
ARM: [2 5 1 1 1]	Average: 17.000000

INDEX:  3
ARM: [2 4 1 1 1]	Average: 4.000000
ARM: [2 5 0 0 0]	Average: 5.000000
ARM: [2 5 0 0 1]	Average: 5.000000
ARM: [2 5 0 1 0]	Average: 5.000000
ARM: [2 5 0 1 1]	Average: 6.000000
ARM: [2 5 1 0 0]	Average: 6.000000
ARM: [2 5 1 0 1]	Average: 7.000000
ARM: [2 5 1 1 0]	Average: 7.000000
ARM: [2 5 1 1 1]	Average: 8.000000

INDEX:  4
ARM: [2 5 0 1 1]	Average: 2.000000
ARM: [2 5 1 0 0]	Average: 2.000000
ARM: [2 5 1 0 1]	Average: 3.000000
ARM: [2 5 1 1 0]	Average: 3.000000
ARM: [2 5 1 1 1]	Average: 4.000000

INDEX:  5
ARM: [2 5 1 0 1]	Average: 1.000000
ARM: [2 5 1 1 0]	Average: 1.000000
ARM: [2 5 1 1 1]	Average: 2.000000

INDEX:  6
ARM: [2 5 1 1 0]	Average: 1.000000
ARM: [2 5 1 1 1]	Average: 1.000000

INDEX:  7
ARM: [2 5 1 1 1]	Average: 1.000000

BEST ARM: [2 5 1 1 1]
--- END OF EXPERIMENT ---

1900-01-01 18:21:49
Student List:
Visual: 		 lambda:0.92 <2, 0, 0, 0>
Non-Visual: 	 lambda:1.06 <0, 0, 1, 1>
Independant: 	 lambda:1.04 <2, 0, 0, 0>
Dependant: 		 lambda:0.93 <1, 1, 1, 1>

