2014-11-28 18:30:25
Student List:
Visual: 		 lambda:0.91 <0, 0, 0, 0, 0>	probability: 0.200000
Non-Visual: 	 lambda:1.28 <0, 3, 0, 1, 1>	probability: 0.400000
Independant: 	 lambda:1.08 <2, 2, 0, 1, 0>	probability: 0.200000
Dependant: 		 lambda:0.89 <1, 2, 1, 1, 1>	probability: 0.200000
Running sequential-halving algorithm bounded by 100000 pulls...

--- Sequential Halving ---
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 0>	CONFIGMU: 0.553317	DELTA: 0.160385
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 2, 1, 1, 1>	CONFIGMU: 0.677150	DELTA: 0.036551
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 0>	CONFIGMU: 0.424824	DELTA: 0.288877
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 0, 1>	CONFIGMU: 0.467439	DELTA: 0.246262
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 0>	CONFIGMU: 0.565108	DELTA: 0.148593
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 0, 1, 1>	CONFIGMU: 0.713701	DELTA: 0.000000
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 0>	CONFIGMU: 0.409305	DELTA: 0.304396
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 0, 1>	CONFIGMU: 0.451960	DELTA: 0.261741
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 0>	CONFIGMU: 0.544483	DELTA: 0.169218
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 3, 1, 1, 1>	CONFIGMU: 0.688968	DELTA: 0.024733
ARM: <0, 4, 0, 0, 0>	CONFIGMU: 0.391000	DELTA: 0.322701
ARM: <0, 4, 0, 0, 0>	CONFIGMU: 0.391000	DELTA: 0.322701
ARM: <0, 4, 0, 0, 0>	CONFIGMU: 0.391000	DELTA: 0.322701
ARM: <0, 4, 0, 0, 1>	CONFIGMU: 0.428424	DELTA: 0.285277
ARM: <0, 4, 0, 0, 1>	CONFIGMU: 0.428424	DELTA: 0.285277
ARM: <0, 4, 0, 0, 1>	CONFIGMU: 0.428424	DELTA: 0.285277
ARM: <0, 4, 0, 1, 0>	CONFIGMU: 0.517991	DELTA: 0.195710
ARM: <0, 4, 0, 1, 0>	CONFIGMU: 0.517991	DELTA: 0.195710
ARM: <0, 4, 0, 1, 0>	CONFIGMU: 0.517991	DELTA: 0.195710
ARM: <0, 4, 0, 1, 1>	CONFIGMU: 0.651900	DELTA: 0.061801
ARM: <0, 4, 0, 1, 1>	CONFIGMU: 0.651900	DELTA: 0.061801
ARM: <0, 4, 0, 1, 1>	CONFIGMU: 0.651900	DELTA: 0.061801
ARM: <0, 4, 1, 0, 0>	CONFIGMU: 0.376817	DELTA: 0.336884
ARM: <0, 4, 1, 0, 0>	CONFIGMU: 0.376817	DELTA: 0.336884
ARM: <0, 4, 1, 0, 0>	CONFIGMU: 0.376817	DELTA: 0.336884
ARM: <0, 4, 1, 0, 1>	CONFIGMU: 0.414423	DELTA: 0.299278
ARM: <0, 4, 1, 0, 1>	CONFIGMU: 0.414423	DELTA: 0.299278
ARM: <0, 4, 1, 0, 1>	CONFIGMU: 0.414423	DELTA: 0.299278
ARM: <0, 4, 1, 1, 0>	CONFIGMU: 0.499271	DELTA: 0.214430
ARM: <0, 4, 1, 1, 0>	CONFIGMU: 0.499271	DELTA: 0.214430
ARM: <0, 4, 1, 1, 0>	CONFIGMU: 0.499271	DELTA: 0.214430
ARM: <0, 4, 1, 1, 1>	CONFIGMU: 0.629638	DELTA: 0.084063
ARM: <0, 4, 1, 1, 1>	CONFIGMU: 0.629638	DELTA: 0.084063
ARM: <0, 4, 1, 1, 1>	CONFIGMU: 0.629638	DELTA: 0.084063
ARM: <1, 0, 0, 0, 0>	CONFIGMU: 0.410435	DELTA: 0.303266
ARM: <1, 0, 0, 0, 0>	CONFIGMU: 0.410435	DELTA: 0.303266
ARM: <1, 0, 0, 0, 0>	CONFIGMU: 0.410435	DELTA: 0.303266
ARM: <1, 0, 0, 0, 1>	CONFIGMU: 0.409847	DELTA: 0.303854
ARM: <1, 0, 0, 0, 1>	CONFIGMU: 0.409847	DELTA: 0.303854
ARM: <1, 0, 0, 0, 1>	CONFIGMU: 0.409847	DELTA: 0.303854
ARM: <1, 0, 0, 1, 0>	CONFIGMU: 0.509653	DELTA: 0.204048
ARM: <1, 0, 0, 1, 0>	CONFIGMU: 0.509653	DELTA: 0.204048
ARM: <1, 0, 0, 1, 0>	CONFIGMU: 0.509653	DELTA: 0.204048
ARM: <1, 0, 0, 1, 1>	CONFIGMU: 0.586310	DELTA: 0.127391
ARM: <1, 0, 0, 1, 1>	CONFIGMU: 0.586310	DELTA: 0.127391
ARM: <1, 0, 0, 1, 1>	CONFIGMU: 0.586310	DELTA: 0.127391
ARM: <1, 0, 1, 0, 0>	CONFIGMU: 0.396336	DELTA: 0.317365
ARM: <1, 0, 1, 0, 0>	CONFIGMU: 0.396336	DELTA: 0.317365
ARM: <1, 0, 1, 0, 0>	CONFIGMU: 0.396336	DELTA: 0.317365
ARM: <1, 0, 1, 0, 1>	CONFIGMU: 0.398389	DELTA: 0.315312
ARM: <1, 0, 1, 0, 1>	CONFIGMU: 0.398389	DELTA: 0.315312
ARM: <1, 0, 1, 0, 1>	CONFIGMU: 0.398389	DELTA: 0.315312
ARM: <1, 0, 1, 1, 0>	CONFIGMU: 0.492937	DELTA: 0.220764
ARM: <1, 0, 1, 1, 0>	CONFIGMU: 0.492937	DELTA: 0.220764
ARM: <1, 0, 1, 1, 0>	CONFIGMU: 0.492937	DELTA: 0.220764
ARM: <1, 0, 1, 1, 1>	CONFIGMU: 0.569952	DELTA: 0.143749
ARM: <1, 0, 1, 1, 1>	CONFIGMU: 0.569952	DELTA: 0.143749
ARM: <1, 0, 1, 1, 1>	CONFIGMU: 0.569952	DELTA: 0.143749
ARM: <1, 1, 0, 0, 0>	CONFIGMU: 0.418383	DELTA: 0.295319
ARM: <1, 1, 0, 0, 0>	CONFIGMU: 0.418383	DELTA: 0.295319
ARM: <1, 1, 0, 0, 0>	CONFIGMU: 0.418383	DELTA: 0.295319
ARM: <1, 1, 0, 0, 1>	CONFIGMU: 0.428924	DELTA: 0.284777
ARM: <1, 1, 0, 0, 1>	CONFIGMU: 0.428924	DELTA: 0.284777
ARM: <1, 1, 0, 0, 1>	CONFIGMU: 0.428924	DELTA: 0.284777
ARM: <1, 1, 0, 1, 0>	CONFIGMU: 0.537758	DELTA: 0.175943
