2014-11-28 18:32:22
Student List:
Visual: 		 lambda:1.00 <1, 0, 0, 0, 0>	probability: 0.200000
Non-Visual: 	 lambda:1.13 <0, 1, 1, 1, 1>	probability: 0.400000
Independant: 	 lambda:1.00 <2, 4, 0, 0, 0>	probability: 0.200000
Dependant: 		 lambda:1.04 <1, 3, 1, 1, 0>	probability: 0.200000
Running sequential-halving algorithm bounded by 100000 pulls...

--- Sequential Halving ---
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 0>	CONFIGMU: 0.490280	DELTA: 0.103134
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 0, 1>	CONFIGMU: 0.424635	DELTA: 0.168779
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 0>	CONFIGMU: 0.510884	DELTA: 0.082530
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 0, 1, 1>	CONFIGMU: 0.534132	DELTA: 0.059282
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 0>	CONFIGMU: 0.486329	DELTA: 0.107084
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 0, 1>	CONFIGMU: 0.429671	DELTA: 0.163742
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 0>	CONFIGMU: 0.520543	DELTA: 0.072871
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 0, 1, 1, 1>	CONFIGMU: 0.553041	DELTA: 0.040373
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 0>	CONFIGMU: 0.503672	DELTA: 0.089742
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 0, 1>	CONFIGMU: 0.444834	DELTA: 0.148580
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 0>	CONFIGMU: 0.538597	DELTA: 0.054817
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 0, 1, 1>	CONFIGMU: 0.572169	DELTA: 0.021245
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 0>	CONFIGMU: 0.500901	DELTA: 0.092512
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 0, 1>	CONFIGMU: 0.451287	DELTA: 0.142127
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 0>	CONFIGMU: 0.550074	DELTA: 0.043339
ARM: <0, 1, 1, 1, 1>	CONFIGMU: 0.593414	DELTA: 0.000000
