--2014-11-28 22:04:26
--Student List:
ARM: <1, 3, 0, 0, 0>	CONFIGMU 0.139917663682	DELTA: 0.121490
ARM: <1, 3, 0, 0, 1>	CONFIGMU 0.126648553669	DELTA: 0.134759
ARM: <1, 3, 0, 1, 0>	CONFIGMU 0.154038151694	DELTA: 0.107369
ARM: <1, 3, 0, 1, 1>	CONFIGMU 0.194044873948	DELTA: 0.067362
ARM: <1, 3, 1, 0, 0>	CONFIGMU 0.136208314789	DELTA: 0.125199
ARM: <1, 3, 1, 0, 1>	CONFIGMU 0.128195765774	DELTA: 0.133211
ARM: <1, 3, 1, 1, 0>	CONFIGMU 0.154879385633	DELTA: 0.106528
ARM: <1, 3, 1, 1, 1>	CONFIGMU 0.203041769516	DELTA: 0.058365
ARM: <1, 4, 0, 0, 0>	CONFIGMU 0.132621112375	DELTA: 0.128786
ARM: <1, 4, 0, 0, 1>	CONFIGMU 0.119684174861	DELTA: 0.141723
ARM: <1, 4, 0, 1, 0>	CONFIGMU 0.148242393891	DELTA: 0.113165
ARM: <1, 4, 0, 1, 1>	CONFIGMU 0.179823737372	DELTA: 0.081583
ARM: <1, 4, 1, 0, 0>	CONFIGMU 0.129258784944	DELTA: 0.132148
ARM: <1, 4, 1, 0, 1>	CONFIGMU 0.120873685815	DELTA: 0.140534
ARM: <1, 4, 1, 1, 0>	CONFIGMU 0.148695804993	DELTA: 0.112711
ARM: <1, 4, 1, 1, 1>	CONFIGMU 0.187223698013	DELTA: 0.074184
ARM: <2, 0, 0, 0, 0>	CONFIGMU 0.153397862504	DELTA: 0.108009
ARM: <2, 0, 0, 0, 1>	CONFIGMU 0.132507716151	DELTA: 0.128899
ARM: <2, 0, 0, 1, 0>	CONFIGMU 0.157966115848	DELTA: 0.103441
ARM: <2, 0, 0, 1, 1>	CONFIGMU 0.19482940279	DELTA: 0.066578
ARM: <2, 0, 1, 0, 0>	CONFIGMU 0.148532934762	DELTA: 0.112874
ARM: <2, 0, 1, 0, 1>	CONFIGMU 0.13362181949	DELTA: 0.127785
ARM: <2, 0, 1, 1, 0>	CONFIGMU 0.158424018454	DELTA: 0.102983
ARM: <2, 0, 1, 1, 1>	CONFIGMU 0.203488150734	DELTA: 0.057919
ARM: <2, 1, 0, 0, 0>	CONFIGMU 0.146371582169	DELTA: 0.115036
ARM: <2, 1, 0, 0, 1>	CONFIGMU 0.132778729159	DELTA: 0.128628
ARM: <2, 1, 0, 1, 0>	CONFIGMU 0.159323352196	DELTA: 0.102084
ARM: <2, 1, 0, 1, 1>	CONFIGMU 0.206622025813	DELTA: 0.054785
ARM: <2, 1, 1, 0, 0>	CONFIGMU 0.142357914988	DELTA: 0.119049
ARM: <2, 1, 1, 0, 1>	CONFIGMU 0.134633921258	DELTA: 0.126773
